New Tree Number,Re-tagged?,Tree Number,Site,Seed Zone,Date Measured,Tree Height (cm),Tree Diameter (mm),Health,Comment,Year Measured
,,1,Seattle,OR,,,,,,
,,2,Seattle,OR,,,,,,
,,3,Seattle,OR,,,,,,
,,4,Seattle,OR,,,,,,
,,5,Seattle,OR,,,,,,
,,6,Seattle,OR,,,,,,
,,7,Seattle,OR,,,,,,
,,8,Seattle,OR,,,,,,
,,9,Seattle,OR,,,,,,
,,10,Seattle,OR,,,,,,
,,11,Seattle,OR,,,,,,
,,12,Seattle,OR,,,,,,
,,13,Seattle,OR,,,,,,
,,14,Seattle,OR,,,,,,
,,15,Seattle,OR,,,,,,
,,16,Seattle,OR,,,,,,
,,17,Seattle,OR,,,,,,
,,18,Seattle,OR,,,,,,
,,19,Seattle,OR,,,,,,
,,20,Seattle,OR,,,,,,
,,21,Seattle,OR,,,,,,
,,22,Seattle,OR,,,,,,
,,23,Seattle,OR,,,,,,
,,24,Seattle,OR,,,,,,
,,25,Seattle,OR,,,,,,
,,26,Seattle,OR,,,,,,
,,27,Seattle,OR,,,,,,
,,28,Seattle,OR,,,,,,
,,29,Seattle,OR,,,,,,
,,30,Seattle,OR,,,,,,
,,31,Seattle,OR,,,,,,
,,32,Seattle,OR,,,,,,
,,33,Seattle,OR,,,,,,
,,34,Seattle,OR,,,,,,
,,35,Seattle,OR,,,,,,
,,36,Seattle,OR,,,,,,
,,37,Seattle,OR,,,,,,
,,38,Seattle,OR,,,,,,
,,39,Seattle,OR,,,,,,
,,40,Seattle,OR,,,,,,
,,41,Seattle,OR,,,,,,
,,42,Seattle,OR,,,,,,
,,43,Seattle,OR,,,,,,
,,44,Seattle,OR,,,,,,
,,45,Seattle,OR,,,,,,
,,46,Seattle,OR,,,,,,
,,47,Seattle,OR,,,,,,
,,48,Seattle,OR,,,,,,
,,49,Seattle,OR,,,,,,
,,50,Seattle,OR,,,,,,
,,51,Tomanamus,OR,,,,,,
,,52,Tomanamus,OR,,,,,,
,,53,Tomanamus,OR,,,,,,
,,54,Tomanamus,OR,,,,,,
,,55,Tomanamus,OR,,,,,,
,,56,Tomanamus,OR,,,,,,
,,57,Tomanamus,OR,,,,,,
,,58,Tomanamus,OR,,,,,,
,,59,Tomanamus,OR,,,,,,
,,60,Tomanamus,OR,,,,,,
,,61,Tomanamus,OR,,,,,,
,,62,Tomanamus,OR,,,,,,
,,63,Tomanamus,OR,,,,,,
,,64,Tomanamus,OR,,,,,,
,,65,Tomanamus,OR,,,,,,
,,66,Tomanamus,OR,,,,,,
,,67,Tomanamus,OR,,,,,,
,,68,Tomanamus,OR,,,,,,
,,69,Tomanamus,OR,,,,,,
,,70,Tomanamus,OR,,,,,,
,,71,Tomanamus,OR,,,,,,
,,72,Tomanamus,OR,,,,,,
,,73,Tomanamus,OR,,,,,,
,,74,Tomanamus,OR,,,,,,
,,75,Tomanamus,OR,,,,,,
,,76,Tomanamus,OR,,,,,,
,,77,Tomanamus,OR,,,,,,
,,78,Tomanamus,OR,,,,,,
,,79,Tomanamus,OR,,,,,,
,,80,Tomanamus,OR,,,,,,
,,81,Tomanamus,OR,,,,,,
,,82,Tomanamus,OR,,,,,,
,,83,Tomanamus,OR,,,,,,
,,84,Tomanamus,OR,,,,,,
,,85,Tomanamus,OR,,,,,,
,,86,Tomanamus,OR,,,,,,
,,87,Tomanamus,OR,,,,,,
,,88,Tomanamus,OR,,,,,,
,,89,Tomanamus,OR,,,,,,
,,90,Tomanamus,OR,,,,,,
,,91,Tomanamus,OR,,,,,,
,,92,Tomanamus,OR,,,,,,
,,93,Tomanamus,OR,,,,,,
,,94,Tomanamus,OR,,,,,,
,,95,Tomanamus,OR,,,,,,
,,96,Tomanamus,OR,,,,,,
,,97,Tomanamus,OR,,,,,,
,,98,Tomanamus,OR,,,,,,
,,99,Tomanamus,OR,,,,,,
,,100,Tomanamus,OR,,,,,,
,,101,Tomanamus,OR,,,,,,
,,102,Tomanamus,OR,,,,,,
,,103,Tomanamus,OR,,,,,,
,,104,Tomanamus,OR,,,,,,
,,105,Tomanamus,OR,,,,,,
,,106,Tomanamus,OR,,,,,,
,,107,Tomanamus,OR,,,,,,
,,108,Tomanamus,OR,,,,,,
,,109,Tomanamus,OR,,,,,,
,,110,Tomanamus,OR,,,,,,
,,111,Tomanamus,OR,,,,,,
,,112,Tomanamus,OR,,,,,,
,,113,Tomanamus,OR,,,,,,
,,114,Tomanamus,OR,,,,,,
,,115,Tomanamus,OR,,,,,,
,,116,Tomanamus,OR,,,,,,
,,117,Tomanamus,OR,,,,,,
,,118,Tomanamus,OR,,,,,,
,,119,Tomanamus,OR,,,,,,
,,120,Tomanamus,OR,,,,,,
,,121,Tomanamus,OR,,,,,,
,,122,Tomanamus,OR,,,,,,
,,123,Tomanamus,OR,,,,,,
,,124,Tomanamus,OR,,,,,,
,,125,Tomanamus,OR,,,,,,
144,Yes,176,Renton,OR,6/18/24,128,16.7,Alive,,
146,Yes,177,Renton,OR,6/18/24,85,12.6,Alive,,
148,Yes,178,Renton,OR,6/18/24,126,18.4,Alive,,
150,Yes,179,Renton,OR,6/18/24,98,13.7,Alive,,
152,Yes,180,Renton,OR,6/18/24,105,16.9,Alive,,
153,Yes,181,Renton,OR,6/18/24,108,13.9,Dying,,
155,Yes,182,Renton,OR,6/18/24,104,16.7,Alive,,
157,Yes,183,Renton,OR,6/18/24,87,14.7,Dying,Brown Bottom half,
159,Yes,184,Renton,OR,6/18/24,111,12.1,Alive,Yellow bottom half,
161,Yes,185,Renton,OR,6/18/24,99,13.4,Alive,,
162,Yes,186,Renton,OR,6/18/24,119,13.2,Alive,,
163,Yes,187,Renton,OR,6/18/24,118,16.6,Alive,,
165,Yes,188,Renton,OR,6/18/24,86,13.1,Alive,,
167,Yes,189,Renton,OR,6/18/24,56,10.6,Dying,Browsed top half,
169,Yes,190,Renton,OR,6/18/24,43,8.7,Dying,Browsed top half,
170,Yes,191,Renton,OR,6/18/24,43,11.4,Dying,Browsed top half,
172,Yes,192,Renton,OR,6/18/24,113,17.1,Alive,,
173,Yes,193,Renton,OR,6/18/24,49,12.7,Dying,Browsed top half,
174,Yes,194,Renton,OR,6/18/24,44,14.5,Dying,Browsed top half,
175,Yes,195,Renton,OR,6/18/24,43,13.5,Dying,Browsed top half,
177,Yes,196,Renton,OR,6/18/24,46,14.8,Alive,Browsed top half,
179,Yes,197,Renton,OR,6/18/24,50,14.4,Alive,Browsed top half,
182,Yes,198,Renton,OR,6/18/24,42,12.9,Dying,Browsed top half,
184,Yes,199,Renton,OR,6/18/24,84,10.9,Dying,Yellowing/browning bottom half,
186,Yes,200,Renton,OR,6/18/24,51,13.1,Dying,Browsed top half,
188,Yes,201,Renton,OR,6/18/24,54,12.9,Dying,Browsed top half,
190,Yes,202,Renton,OR,6/18/24,119,16.5,Alive,,
191,Yes,203,Renton,OR,6/18/24,47,10.1,Dying,Browsed top half,
193,Yes,204,Renton,OR,6/18/24,54,10.9,Alive,Browsed top half,
194,Yes,206,Renton,OR,6/18/24,50,8.3,Alive,Browsed top half,
196,Yes,207,Renton,OR,6/18/24,54,10.6,Dying,Browsed top half,
198,Yes,208,Renton,OR,6/18/24,142,15,Alive,,
