Tree Number,Site Number,Site,Seed Zone,Date Measured,Tree Height (cm),Tree Diameter (mm),Vigor / Comment,Date Planted
OR1,1,Seattle,OR,1.31.22,70.5,8,,2.8..22
OR2,2,Seattle,OR,1.31.22,70.5,7.5,,2.8..22
OR3,3,Seattle,OR,1.31.22,79.5,8.2,,2.8..22
OR4,4,Seattle,OR,1.31.22,70.9,9.4,,2.8..22
OR5,5,Seattle,OR,1.31.22,66.4,7.3,,2.8..22
OR6,6,Seattle,OR,1.31.22,60.6,6.1,,2.8..22
OR7,7,Seattle,OR,1.31.22,83,9,tree has slight angle at base,2.8..22
OR8,8,Seattle,OR,1.31.22,90.4,9.6,,2.8..22
OR9,9,Seattle,OR,1.31.22,82,8.5,very slight angle at base,2.8..22
OR10,10,Seattle,OR,1.31.22,94,10.1,,2.8..22
OR11,11,Seattle,OR,1.31.22,74,10,,2.8..22
OR12,12,Seattle,OR,1.31.22,61.7,7.4,,2.8..22
OR13,13,Seattle,OR,1.31.22,44.4,6.2,"two tops, measured tallest",2.8..22
OR14,14,Seattle,OR,1.31.22,50.4,5.7,,2.8..22
OR15,15,Seattle,OR,1.31.22,59,7.1,,2.8..22
OR16,16,Seattle,OR,1.31.22,96,10.3,"two tops, measured tallest",2.8..22
OR17,17,Seattle,OR,1.31.22,78.3,7.7,,2.8..22
OR18,18,Seattle,OR,1.31.22,90.2,8.5,,2.8..22
OR19,19,Seattle,OR,1.31.22,100,9.6,,2.8..22
OR20,20,Seattle,OR,1.31.22,75.2,6.6,,2.8..22
OR21,21,Seattle,OR,1.31.22,66,6,,2.8..22
OR22,22,Seattle,OR,1.31.22,87.4,9.4,,2.8..22
OR23,23,Seattle,OR,1.31.22,100.8,7.6,,2.8..22
OR24,24,Seattle,OR,1.31.22,94.4,8.4,,2.8..22
OR25,25,Seattle,OR,1.31.22,99.6,9.4,,2.8..22
OR26,26,Seattle,OR,1.31.22,54.8,4.6,,2.8..22
OR27,27,Seattle,OR,1.31.22,82.8,7.2,,2.8..22
OR28,28,Seattle,OR,1.31.22,88.4,8,,2.8..22
OR29,29,Seattle,OR,1.31.22,91.6,8.3,,2.8..22
OR30,30,Seattle,OR,1.31.22,91.3,8.7,,2.8..22
OR31,31,Seattle,OR,1.31.22,88.2,9.2,,2.8..22
OR32,32,Seattle,OR,1.31.22,71,6.8,,2.8..22
OR33,33,Seattle,OR,1.31.22,92.2,8.5,,2.8..22
OR34,34,Seattle,OR,1.31.22,94.4,7.6,,2.8..22
OR35,35,Seattle,OR,1.31.22,83,6.7,,2.8..22
OR36,36,Seattle,OR,1.31.22,77.4,6,,2.8..22
OR37,37,Seattle,OR,1.31.22,92.6,8.6,,2.8..22
OR38,38,Seattle,OR,1.31.22,77,9.5,"two tops, measured tallest",2.8..22
OR39,39,Seattle,OR,1.31.22,68.2,5.4,,2.8..22
OR40,40,Seattle,OR,1.31.22,77,7.3,,2.8..22
OR41,41,Seattle,OR,1.31.22,87.6,8.6,,2.8..22
OR42,42,Seattle,OR,1.31.22,90.4,7.4,,2.8..22
OR43,43,Seattle,OR,1.31.22,100.4,8.8,,2.8..22
OR44,44,Seattle,OR,1.31.22,93.4,7.6,,2.8..22
OR45,45,Seattle,OR,1.31.22,66.8,7.2,,2.8..22
OR46,46,Seattle,OR,1.31.22,84.4,7.4,,2.8..22
OR47,47,Seattle,OR,1.31.22,79,7,,2.8..22
OR48,48,Seattle,OR,1.31.22,80.8,6.7,,2.8..22
OR49,49,Seattle,OR,1.31.22,100.2,8.8,,2.8..22
OR50,50,Seattle,OR,1.31.22,87.4,8.2,,2.8..22
OR51,51,Enumclaw,OR,2.7.22,70,7,,
OR52,52,Enumclaw,OR,2.7.22,79.9,7.4,,
OR53,53,Enumclaw,OR,2.7.22,91.8,7.4,,
OR54,54,Enumclaw,OR,2.7.22,88.2,9.2,,
OR55,55,Enumclaw,OR,2.7.22,86.2,7.4,,
OR56,56,Enumclaw,OR,2.7.22,68,5,,
OR57,57,Enumclaw,OR,2.7.22,85.6,8.7,,
OR58,58,Enumclaw,OR,2.7.22,68.8,6.4,,
OR59,59,Enumclaw,OR,2.7.22,88.6,6.9,,
OR60,60,Enumclaw,OR,2.7.22,87.4,7.8,,
OR61,61,Enumclaw,OR,2.7.22,31.8,2.5,,
OR62,62,Enumclaw,OR,2.7.22,103.8,7.6,,
OR63,63,Enumclaw,OR,2.7.22,53.2,3.6,,
OR64,64,Enumclaw,OR,2.7.22,87.6,7.5,,
OR65,65,Enumclaw,OR,2.7.22,73,8.3,,
OR66,66,Enumclaw,OR,2.7.22,72.4,5.4,,
OR67,67,Enumclaw,OR,2.7.22,85,5.7,,
OR68,68,Enumclaw,OR,2.7.22,79.4,7.2,two tops,
OR69,69,Enumclaw,OR,2.7.22,45,4.7,,
